bartoc,wikidata,wikipedia
http://bartoc.org/en/node/848,http://www.wikidata.org/entity/Q1196964,
http://bartoc.org/en/node/838,http://www.wikidata.org/entity/Q2167138,
http://bartoc.org/en/node/837,http://www.wikidata.org/entity/Q4824694,
http://bartoc.org/en/node/745,http://www.wikidata.org/entity/Q810226,
http://bartoc.org/en/node/743,http://www.wikidata.org/entity/Q1278277,
http://bartoc.org/en/node/743,http://www.wikidata.org/entity/Q1278277,
http://bartoc.org/en/node/742,http://www.wikidata.org/entity/Q305980,
http://bartoc.org/en/node/742,http://www.wikidata.org/entity/Q305980,
http://bartoc.org/en/node/741,http://www.wikidata.org/entity/Q1510727,
http://bartoc.org/en/node/733,http://www.wikidata.org/entity/Q199303,
http://bartoc.org/en/node/732,http://www.wikidata.org/entity/Q1571087,
http://bartoc.org/en/node/727,http://www.wikidata.org/entity/Q2582270,
http://bartoc.org/en/node/726,http://www.wikidata.org/entity/Q7258111,
http://bartoc.org/en/node/725,http://www.wikidata.org/entity/Q624610,
http://bartoc.org/en/node/724,http://www.wikidata.org/entity/Q6023365,
http://bartoc.org/en/node/720,http://www.wikidata.org/entity/Q604063,
http://bartoc.org/en/node/712,http://www.wikidata.org/entity/Q1389366,
http://bartoc.org/en/node/709,http://www.wikidata.org/entity/Q7095051,
http://bartoc.org/en/node/709,http://www.wikidata.org/entity/Q7095051,
http://bartoc.org/en/node/709,http://www.wikidata.org/entity/Q7095051,
http://bartoc.org/en/node/707,http://www.wikidata.org/entity/Q3294867,
http://bartoc.org/en/node/706,http://www.wikidata.org/entity/Q21159923,
http://bartoc.org/en/node/699,http://www.wikidata.org/entity/Q15848220,
http://bartoc.org/en/node/698,http://www.wikidata.org/entity/Q36578,
http://bartoc.org/en/node/697,http://www.wikidata.org/entity/Q15848220,
http://bartoc.org/en/node/696,http://www.wikidata.org/entity/Q941910,
http://bartoc.org/en/node/693,http://www.wikidata.org/entity/Q2377160,
http://bartoc.org/en/node/673,http://www.wikidata.org/entity/Q16335194,
http://bartoc.org/en/node/672,http://www.wikidata.org/entity/Q10659446,
http://bartoc.org/en/node/671,http://www.wikidata.org/entity/Q741108,
http://bartoc.org/en/node/663,http://www.wikidata.org/entity/Q1676606,
http://bartoc.org/en/node/655,http://www.wikidata.org/entity/Q6953141,
http://bartoc.org/en/node/655,http://www.wikidata.org/entity/Q6953141,
http://bartoc.org/en/node/585,http://www.wikidata.org/entity/Q17062520,
http://bartoc.org/en/node/584,http://www.wikidata.org/entity/Q16948198,
http://bartoc.org/en/node/576,http://www.wikidata.org/entity/Q5282129,
http://bartoc.org/en/node/572,http://www.wikidata.org/entity/Q135085,
http://bartoc.org/en/node/571,http://www.wikidata.org/entity/Q1406710,
http://bartoc.org/en/node/570,http://www.wikidata.org/entity/Q16251642,
http://bartoc.org/en/node/558,http://www.wikidata.org/entity/Q902623,
http://bartoc.org/en/node/557,http://www.wikidata.org/entity/Q723530,
http://bartoc.org/en/node/547,http://www.wikidata.org/entity/Q5128407,
http://bartoc.org/en/node/540,http://www.wikidata.org/entity/Q6974608,
http://bartoc.org/en/node/538,http://www.wikidata.org/entity/Q4223026,
http://bartoc.org/en/node/538,http://www.wikidata.org/entity/Q4223026,
http://bartoc.org/en/node/535,http://www.wikidata.org/entity/Q4832556,
http://bartoc.org/en/node/534,http://www.wikidata.org/entity/Q7598269,
http://bartoc.org/en/node/533,http://www.wikidata.org/entity/Q2137453,
http://bartoc.org/en/node/528,http://www.wikidata.org/entity/Q986957,
http://bartoc.org/en/node/526,http://www.wikidata.org/entity/Q178110,
http://bartoc.org/en/node/526,http://www.wikidata.org/entity/Q178110,
http://bartoc.org/en/node/525,http://www.wikidata.org/entity/Q16841257,
http://bartoc.org/en/node/524,http://www.wikidata.org/entity/Q1361569,
http://bartoc.org/en/node/521,http://www.wikidata.org/entity/Q512060,
http://bartoc.org/en/node/519,http://www.wikidata.org/entity/Q4824842,
http://bartoc.org/en/node/519,http://www.wikidata.org/entity/Q4824842,
http://bartoc.org/en/node/519,http://www.wikidata.org/entity/Q4824842,
http://bartoc.org/en/node/514,http://www.wikidata.org/entity/Q1765777,
http://bartoc.org/en/node/513,http://www.wikidata.org/entity/Q7890868,
http://bartoc.org/en/node/512,http://www.wikidata.org/entity/Q1667423,
http://bartoc.org/en/node/504,http://www.wikidata.org/entity/Q1390351,
http://bartoc.org/en/node/501,http://www.wikidata.org/entity/Q1744633,
http://bartoc.org/en/node/496,http://www.wikidata.org/entity/Q243350,
http://bartoc.org/en/node/495,http://www.wikidata.org/entity/Q2385549,
http://bartoc.org/en/node/490,http://www.wikidata.org/entity/Q11544935,
http://bartoc.org/en/node/486,http://www.wikidata.org/entity/Q621080,
http://bartoc.org/en/node/483,http://www.wikidata.org/entity/Q142667,
http://bartoc.org/en/node/482,http://www.wikidata.org/entity/Q7863249,
http://bartoc.org/en/node/476,http://www.wikidata.org/entity/Q3509282,
http://bartoc.org/en/node/475,http://www.wikidata.org/entity/Q288530,
http://bartoc.org/en/node/474,http://www.wikidata.org/entity/Q967960,
http://bartoc.org/en/node/473,http://www.wikidata.org/entity/Q1457979,
http://bartoc.org/en/node/473,http://www.wikidata.org/entity/Q1457979,
http://bartoc.org/en/node/469,http://www.wikidata.org/entity/Q7889905,
http://bartoc.org/en/node/468,http://www.wikidata.org/entity/Q7550666,
http://bartoc.org/en/node/468,http://www.wikidata.org/entity/Q7550666,
http://bartoc.org/en/node/465,http://www.wikidata.org/entity/Q6269063,
http://bartoc.org/en/node/462,http://www.wikidata.org/entity/Q1114454,
